L2/3 IT,L6 IT,L4 IT,L5 IT,L5 ET,L6 CT,L6b,L6 IT Car3,L5/6 NP
0.99991655,2.8220388e-06,6.5924244e-09,6.9849517e-12,8.0561294e-05,1.062948e-13,3.7439465e-17,6.2180106e-08,1.4161548e-10
0.99994576,4.8456275e-07,5.2152917e-08,2.1295245e-11,5.3579613e-05,1.9685633e-12,3.8371614e-16,1.9647047e-07,1.6353329e-09
0.9997844,2.4538227e-05,5.729835e-07,1.09127804e-10,0.00018629116,1.4073295e-11,4.3797854e-14,4.1501007e-06,4.1264387e-09
0.9999386,1.6632693e-07,3.1752182e-07,8.428539e-12,6.0835748e-05,3.2465116e-12,1.87124e-16,1.7304066e-08,1.0072924e-09
0.9987509,8.153728e-05,3.5710626e-05,1.6810683e-08,0.0011152044,9.811757e-09,1.3007133e-10,1.2099837e-05,4.4403805e-06
0.99547833,0.00023352135,0.00024198578,1.867353e-06,0.0036519133,3.2985173e-07,1.1414949e-09,0.00038669715,5.370092e-06
0.9981818,9.587791e-05,5.5671848e-05,2.2326948e-07,0.0016255957,1.9894802e-08,2.0684527e-11,3.7498845e-05,3.3378712e-06
0.9999219,2.3327085e-07,8.578176e-08,9.138685e-12,7.755996e-05,2.7159479e-13,5.6344607e-18,9.721385e-08,7.035297e-10
0.9969554,0.00012258106,2.0364892e-05,2.6652094e-07,0.0028747,4.386925e-08,8.9091366e-11,2.2281554e-05,4.4015633e-06
0.99938095,1.7973618e-05,1.1572221e-06,1.5804026e-09,0.00059214514,1.8505301e-10,1.2318842e-14,7.74694e-06,4.6976496e-08
0.9591354,0.0033925588,0.0024598325,0.00018890556,0.029158767,0.00011237515,6.065096e-06,0.0034354706,0.0021105546
0.9887481,0.0007947526,0.00021964216,3.833273e-06,0.009996969,2.1196108e-06,6.802577e-08,0.00012363534,0.00011086523
0.55290854,0.068976626,0.082556255,0.016975963,0.18663922,0.015318844,0.0061412137,0.041335545,0.029147798
0.9999193,2.0039954e-06,2.7401757e-07,7.548551e-12,7.822757e-05,3.1064496e-13,5.8259786e-18,2.3912685e-07,7.4687555e-11
0.9821431,0.0016874557,0.00013591602,1.2425157e-05,0.015583332,2.003925e-06,1.8495578e-08,0.0004049322,3.0786658e-05
0.9995054,1.536195e-05,4.9787122e-06,8.93812e-09,0.00046978812,1.7750796e-09,1.5203432e-13,4.280718e-06,7.742342e-08
0.9920523,0.00035375898,5.0503982e-05,1.1707426e-06,0.007418757,3.8553975e-07,7.689004e-09,0.00010958859,1.3488865e-05
0.9997514,1.2407145e-05,7.85107e-06,6.042873e-10,0.00022783798,6.1501255e-11,3.781396e-14,5.0699384e-07,2.4298878e-08
0.99999225,2.8671678e-09,3.8969725e-09,5.0913978e-14,7.791397e-06,3.1720704e-15,8.718111e-20,2.1435495e-10,4.5845928e-11
0.9974667,0.00019759993,5.0587485e-05,1.8883522e-07,0.002224384,2.7161983e-08,4.662275e-11,5.9201673e-05,1.429999e-06
0.9181836,0.013355588,0.014409,0.001027101,0.0409899,0.00046319404,2.685102e-05,0.0057316464,0.005813263
0.9970415,1.632231e-05,0.00016852784,7.84533e-08,0.002726021,4.520696e-08,1.9646007e-10,3.4206096e-05,1.3283658e-05
0.9830633,0.0013624999,0.00087118533,3.9566832e-05,0.014021802,1.00721445e-05,1.8155814e-07,0.0004915951,0.00013983529
0.7895597,0.0395475,0.016576264,0.006577324,0.11801988,0.0012377504,0.00011944892,0.024457565,0.0039045317
0.9999633,5.8423725e-06,5.797399e-08,2.47058e-11,3.0303458e-05,5.53509e-13,3.2505674e-17,5.86348e-07,5.500397e-11
0.9997311,2.4838515e-05,4.4422127e-06,2.0007845e-10,0.00023925144,1.2406483e-10,5.019515e-14,3.5852256e-07,2.3700862e-08
0.9475702,0.0050685783,0.0048216376,0.00012663225,0.03948612,4.337688e-05,9.377147e-07,0.002409705,0.00047288946
0.9923167,0.00065461925,4.2932963e-05,3.0381916e-06,0.0068000825,7.743802e-07,2.3757611e-09,0.00017518044,6.5837385e-06
0.987677,0.0009317945,0.0006735002,1.5123846e-06,0.010534722,4.7733704e-07,1.4546387e-08,0.00016117764,1.9928031e-05
0.9996,2.6637824e-06,8.477492e-07,2.9006513e-09,0.00039549952,4.7188347e-11,4.2853863e-14,1.0098397e-06,5.327704e-08
0.9618132,0.007824312,0.0016079122,5.5533652e-05,0.024539705,1.4157213e-05,8.9991846e-07,0.0040336647,0.000110564
0.99897313,5.6874294e-05,2.4901324e-06,2.1270749e-08,0.0009536791,7.3215717e-10,7.676897e-13,1.3672329e-05,6.641359e-08
0.9634001,0.009559238,0.003150625,2.0801988e-05,0.02058925,6.8323075e-06,1.7247115e-07,0.003169119,0.00010380284
0.9987387,0.0001546974,0.00015980571,1.2332579e-07,0.0008961989,2.2238511e-08,1.344543e-10,4.506573e-05,5.435718e-06
0.99534744,0.0010813527,0.00014232042,1.8554597e-06,0.0030891274,5.842272e-07,1.8851047e-08,0.0003186992,1.8491155e-05
0.9999821,5.8203017e-07,9.445507e-09,3.8481635e-12,1.7255043e-05,3.0530022e-13,3.167333e-16,4.5693e-09,5.520736e-10
0.9986324,6.759688e-05,7.4609656e-05,2.30938e-07,0.0010810231,2.3007638e-08,5.0966675e-11,0.00014334981,7.394747e-07
0.98421615,0.0012575997,0.0012698947,7.038317e-05,0.012319962,2.2723983e-05,4.0133344e-07,0.0006088688,0.00023390772
0.99992275,1.9819588e-06,6.770904e-08,1.2741129e-10,7.4164716e-05,5.6673125e-12,4.321401e-16,1.0332409e-06,2.8104976e-09
0.99986196,4.556989e-07,2.3856464e-07,5.8210894e-11,0.00013714696,7.825631e-12,1.001439e-14,1.226518e-07,2.6557496e-09
0.9993986,6.029702e-06,3.978721e-06,4.9258935e-09,0.000590976,2.1126433e-10,1.0325547e-13,5.432272e-07,1.7719886e-08
0.9999255,3.3392282e-06,3.1824828e-07,2.0023408e-11,7.043544e-05,1.03867e-11,6.944616e-16,4.0589984e-07,8.1020557e-10
0.9997124,0.00015889555,2.0482395e-07,6.4967415e-10,0.00012540768,2.704706e-12,1.0060822e-15,3.0067617e-06,5.0193927e-10
0.97718036,0.0019303357,0.002034203,6.022599e-05,0.015673753,1.2857016e-05,4.772003e-07,0.0028908323,0.00021686267
0.9999957,3.180435e-08,3.7787492e-11,1.4400688e-14,4.3157743e-06,4.9607514e-17,1.2007811e-21,6.462268e-10,2.636787e-13
0.9993197,4.9478775e-05,1.0946375e-05,7.652978e-09,0.0006031504,1.4918036e-09,2.306606e-12,1.6655309e-05,6.512529e-08
0.9998555,2.081349e-06,3.876013e-08,3.688827e-10,0.00014197969,2.205362e-12,9.677084e-15,3.9536542e-07,5.228979e-10
0.97571,0.002996233,0.0030965544,3.069159e-05,0.014369532,6.891447e-06,2.606578e-07,0.0036568332,0.0001331063
0.9997644,2.3745124e-05,1.2139029e-06,7.982221e-10,0.00020849239,1.0180223e-10,3.3782815e-13,2.204558e-06,1.8932425e-08
0.9999999,7.476174e-10,4.6399884e-11,3.7697387e-18,1.2585072e-07,4.9500462e-20,5.0907424e-27,1.3462196e-11,4.460928e-16
0.99984896,4.1342293e-05,9.631209e-07,1.8126188e-10,0.0001081645,1.2156303e-11,1.463701e-14,6.0426765e-07,4.2034367e-09
0.9995215,1.1188649e-05,1.7267545e-06,4.5759735e-10,0.0004648142,2.9841855e-11,2.9576503e-14,8.80287e-07,1.4459115e-08
0.9999769,1.6712443e-06,1.769288e-08,8.5583927e-13,2.1462916e-05,1.3670763e-13,5.849701e-17,9.521083e-09,1.7972784e-10
0.9999851,6.150305e-08,3.6639913e-09,6.714383e-14,1.4818795e-05,1.3783577e-15,4.7289402e-20,5.833605e-09,6.0713743e-12
0.999987,4.1519928e-07,8.135679e-10,1.1915679e-12,1.2514346e-05,7.444076e-14,2.4364693e-17,4.843937e-09,1.2017717e-10
0.9954313,0.0011109996,0.00010643414,7.8901513e-07,0.0032852977,6.144478e-08,2.3399502e-09,5.9170692e-05,5.989813e-06
0.99999964,2.5375532e-10,7.0925076e-12,5.3969957e-18,3.9788878e-07,2.4727626e-19,2.9778103e-26,6.1479814e-11,3.3067328e-15
0.9990451,1.7640818e-05,1.6839103e-05,9.787802e-09,0.00091699074,1.5619926e-09,3.6228115e-12,3.244657e-06,1.8823538e-07
